Reaction: [#6:1]-[#6:2](=[O:3])-[#7:4](-,:[*:5])-,:[*:6]>>[#6:1]-[#6:2](=[O:3])-[#8]-,:[#1].[#7:4](-,:[*:5])-,:[*:6]
Product: [CH3:1][C:2](=[O:3])[N:4]([*:5])[*:6]
Core: [CH3:2][NH2:4]
ERROR: Failed to process decomposition of [H]c1c([H])c([H])[c:1]([C:2](=[O:3])[N:4]([c:5]2c([H])c([H])c([H])c(Cl)c2C([H])([H])N(C([H])([H])[H])[C:1]([H])([H])[C:2](=[O:3])[N+:4]2([H])[C:5]([H])([H])C([H])([H])OC([H])([H])[C:6]2([H])[H])[H:6])c([H])c1[H]
Index size 455
0	1057398	27591 (342530)	29600 (568436)	816693600 1432854760
1	9	3 (4)	4 (9)	12 36
2	1	1 (1)	1 (1)	1 1
3	3	2 (3)	2 (3)	4 9
4	10	6 (7)	6 (10)	36 70
5	5	2 (2)	2 (5)	4 10
6	17	7 (13)	6 (13)	42 169
7	4921	274 (3023)	345 (3817)	94530 11538791
8	3	1 (3)	2 (3)	2 9
9	2	2 (2)	2 (2)	4 4
10	2	2 (2)	2 (2)	4 4
11	1	1 (1)	1 (1)	1 1
12	1	1 (1)	1 (1)	1 1
13	1	1 (1)	1 (1)	1 1
14	1	1 (1)	1 (1)	1 1
15	1	1 (1)	1 (1)	1 1
16	2	1 (2)	1 (2)	1 4
17	2	2 (2)	2 (2)	4 4
18	3	1 (3)	2 (3)	2 9
19	1	1 (1)	1 (1)	1 1
20	1	1 (1)	1 (1)	1 1
21	1	1 (1)	1 (1)	1 1
22	173	21 (109)	29 (147)	609 16023
23	8	3 (8)	3 (4)	9 32
24	32	12 (32)	12 (27)	144 864
25	29	6 (23)	5 (16)	30 368
26	12	2 (9)	2 (11)	4 99
27	7	4 (7)	4 (7)	16 49
28	7	4 (6)	4 (7)	16 42
29	31	10 (28)	10 (31)	100 868
30	42	15 (32)	15 (39)	225 1248
31	26	6 (20)	6 (23)	36 460
32	156	23 (131)	23 (130)	529 17030
33	8	4 (8)	4 (8)	16 64
34	6	4 (6)	4 (6)	16 36
35	9	3 (7)	3 (9)	9 63
36	13	4 (11)	4 (9)	16 99
37	15	5 (15)	5 (10)	25 150
38	1	1 (1)	1 (1)	1 1
39	1	1 (1)	1 (1)	1 1
40	1	1 (1)	1 (1)	1 1
41	1	1 (1)	1 (1)	1 1
42	1	1 (1)	1 (1)	1 1
43	1	1 (1)	1 (1)	1 1
44	1	1 (1)	1 (1)	1 1
45	1	1 (1)	1 (1)	1 1
46	1	1 (1)	1 (1)	1 1
47	14	6 (8)	5 (14)	30 112
48	6	2 (2)	1 (6)	2 12
49	79	14 (70)	15 (79)	210 5530
50	27	7 (26)	8 (27)	56 702
51	7	1 (7)	1 (7)	1 49
52	8	2 (8)	2 (6)	4 48
53	75	14 (55)	14 (71)	196 3905
54	12	7 (10)	7 (12)	49 120
55	46	14 (34)	12 (46)	168 1564
56	55	12 (46)	10 (51)	120 2346
57	147	27 (113)	30 (129)	810 14577
58	68	5 (38)	10 (67)	50 2546
59	40	8 (35)	9 (37)	72 1295
60	27	4 (21)	4 (27)	16 567
61	5	2 (5)	2 (5)	4 25
62	1	1 (1)	1 (1)	1 1
63	2	1 (2)	1 (2)	1 4
64	1	1 (1)	1 (1)	1 1
65	2	2 (2)	2 (2)	4 4
66	1	1 (1)	1 (1)	1 1
67	1	1 (1)	1 (1)	1 1
68	2	2 (2)	2 (2)	4 4
69	2	2 (2)	2 (2)	4 4
70	2	1 (2)	1 (2)	1 4
71	2	1 (2)	1 (2)	1 4
72	3	1 (3)	2 (3)	2 9
73	2	1 (2)	2 (2)	2 4
74	1	1 (1)	1 (1)	1 1
75	4	2 (4)	2 (4)	4 16
76	1	1 (1)	1 (1)	1 1
77	1	1 (1)	1 (1)	1 1
78	3	3 (3)	3 (3)	9 9
79	3	2 (3)	2 (3)	4 9
80	2	2 (2)	2 (2)	4 4
81	1	1 (1)	1 (1)	1 1
82	1	1 (1)	1 (1)	1 1
83	26	10 (23)	10 (26)	100 598
84	16	7 (9)	8 (16)	56 144
85	9	5 (6)	5 (9)	25 54
86	18	8 (15)	9 (18)	72 270
87	13	9 (13)	9 (13)	81 169
88	27	4 (21)	4 (25)	16 525
89	36	10 (28)	10 (33)	100 924
90	2	1 (2)	1 (2)	1 4
91	4	1 (4)	1 (4)	1 16
92	1	1 (1)	1 (1)	1 1
93	2	1 (2)	1 (2)	1 4
94	4	2 (3)	2 (4)	4 12
95	9	4 (5)	4 (9)	16 45
96	43	8 (35)	9 (38)	72 1330
97	12	2 (9)	2 (11)	4 99
98	21	4 (7)	5 (21)	20 147
99	14	3 (6)	4 (14)	12 84
100	1	1 (1)	1 (1)	1 1
101	1	1 (1)	1 (1)	1 1
102	1	1 (1)	1 (1)	1 1
103	1	1 (1)	1 (1)	1 1
104	1	1 (1)	1 (1)	1 1
105	2	1 (2)	1 (2)	1 4
106	1	1 (1)	1 (1)	1 1
107	1	1 (1)	1 (1)	1 1
108	1	1 (1)	1 (1)	1 1
109	1	1 (1)	1 (1)	1 1
110	3	3 (3)	3 (3)	9 9
111	1	1 (1)	1 (1)	1 1
112	6	4 (6)	4 (6)	16 36
113	6	3 (4)	3 (6)	9 24
114	2	2 (2)	2 (2)	4 4
115	35	2 (7)	7 (35)	14 245
116	9	1 (9)	1 (8)	1 72
117	3	2 (3)	2 (3)	4 9
118	1	1 (1)	1 (1)	1 1
119	2	2 (2)	2 (2)	4 4
120	1	1 (1)	1 (1)	1 1
121	2	1 (2)	1 (2)	1 4
122	1	1 (1)	1 (1)	1 1
123	1	1 (1)	1 (1)	1 1
124	3	2 (3)	2 (2)	4 6
125	9	1 (9)	1 (4)	1 36
126	2	1 (2)	1 (2)	1 4
127	2	1 (1)	1 (1)	1 1
128	11	2 (7)	3 (8)	6 56
129	8	4 (6)	4 (8)	16 48
130	2	2 (2)	2 (2)	4 4
131	2	1 (1)	2 (2)	2 2
132	4	3 (4)	3 (4)	9 16
133	2	1 (2)	1 (1)	1 2
134	5	4 (5)	4 (5)	16 25
135	5	2 (3)	3 (5)	6 15
136	3	2 (2)	3 (3)	6 6
137	5	2 (3)	3 (5)	6 15
138	4	2 (4)	2 (4)	4 16
139	2	2 (2)	2 (2)	4 4
140	3	3 (3)	3 (3)	9 9
141	48	7 (30)	7 (36)	49 1080
142	2	1 (2)	1 (2)	1 4
143	1	1 (1)	1 (1)	1 1
144	2	1 (2)	1 (2)	1 4
145	3	1 (3)	1 (2)	1 6
146	1	1 (1)	1 (1)	1 1
147	1	1 (1)	1 (1)	1 1
148	18	1 (2)	1 (11)	1 22
149	7	4 (7)	4 (5)	16 35
150	2	2 (2)	2 (2)	4 4
151	1	1 (1)	1 (1)	1 1
152	4	2 (3)	2 (4)	4 12
153	3	2 (3)	2 (3)	4 9
154	1	1 (1)	1 (1)	1 1
155	2	2 (2)	2 (2)	4 4
156	2	2 (2)	2 (2)	4 4
157	2	1 (2)	1 (2)	1 4
158	2	2 (2)	2 (2)	4 4
159	2	1 (2)	1 (2)	1 4
160	4	3 (3)	3 (4)	9 12
161	12	6 (11)	5 (12)	30 132
162	23	2 (16)	2 (21)	4 336
163	59	6 (43)	6 (44)	36 1892
164	5	1 (5)	1 (5)	1 25
165	1	1 (1)	1 (1)	1 1
166	1	1 (1)	1 (1)	1 1
167	2	2 (2)	2 (2)	4 4
168	2	1 (2)	1 (2)	1 4
169	1	1 (1)	1 (1)	1 1
170	2	1 (2)	1 (2)	1 4
171	1	1 (1)	1 (1)	1 1
172	19	9 (13)	9 (18)	81 234
173	10	1 (8)	1 (10)	1 80
174	1	1 (1)	1 (1)	1 1
175	2	2 (2)	2 (2)	4 4
176	1	1 (1)	1 (1)	1 1
177	1	1 (1)	1 (1)	1 1
178	1	1 (1)	1 (1)	1 1
179	3	3 (3)	3 (3)	9 9
180	1	1 (1)	1 (1)	1 1
181	84	14 (57)	14 (74)	196 4218
182	3	1 (3)	1 (2)	1 6
183	2	1 (2)	1 (1)	1 2
184	1	1 (1)	1 (1)	1 1
185	1	1 (1)	1 (1)	1 1
186	16	1 (1)	2 (16)	2 16
187	3	1 (1)	1 (2)	1 2
188	1	1 (1)	1 (1)	1 1
189	24	5 (16)	5 (24)	25 384
190	1	1 (1)	1 (1)	1 1
191	3	1 (3)	1 (2)	1 6
192	3	1 (3)	1 (2)	1 6
193	2	1 (2)	1 (2)	1 4
194	1	1 (1)	1 (1)	1 1
195	5	2 (5)	2 (4)	4 20
196	1	1 (1)	1 (1)	1 1
197	4	1 (4)	1 (4)	1 16
198	1	1 (1)	1 (1)	1 1
199	8	3 (8)	3 (7)	9 56
200	5	3 (5)	3 (5)	9 25
201	1	1 (1)	1 (1)	1 1
202	3	2 (3)	2 (3)	4 9
203	1	1 (1)	1 (1)	1 1
204	3	2 (2)	2 (3)	4 6
205	5	3 (4)	3 (5)	9 20
206	3	2 (3)	2 (3)	4 9
207	4	3 (4)	3 (4)	9 16
208	1	1 (1)	1 (1)	1 1
209	4	2 (4)	2 (4)	4 16
210	2	1 (2)	1 (2)	1 4
211	1	1 (1)	1 (1)	1 1
212	1	1 (1)	1 (1)	1 1
213	20	2 (20)	1 (1)	2 20
214	15	2 (8)	2 (15)	4 120
215	3	2 (3)	2 (3)	4 9
216	2	2 (2)	2 (2)	4 4
217	3	2 (3)	2 (3)	4 9
218	4	1 (4)	2 (4)	2 16
219	4	1 (4)	2 (4)	2 16
220	3	1 (3)	2 (3)	2 9
221	4	1 (4)	2 (4)	2 16
222	4	4 (4)	4 (4)	16 16
223	5	3 (3)	5 (5)	15 15
224	4	1 (3)	3 (4)	3 12
225	10	1 (2)	4 (10)	4 20
226	28	1 (6)	3 (28)	3 168
